data,total
09/08/2024 08:50,8
09/08/2024 08:56,80
09/08/2024 09:02,13
09/08/2024 09:08,33
09/08/2024 09:17,16
09/08/2024 09:18,18
09/08/2024 09:26,19.8
09/08/2024 09:27,12.1
09/08/2024 10:02,10
09/08/2024 10:17,20.9
09/08/2024 10:41,20
09/08/2024 10:43,24
09/08/2024 11:05,80
09/08/2024 11:07,18.7
09/08/2024 11:15,14
09/08/2024 11:16,17
09/08/2024 11:19,7
09/08/2024 12:08,149
09/08/2024 13:32,27.5
09/08/2024 13:33,27.5
09/08/2024 13:36,25
09/08/2024 13:48,5
09/08/2024 13:53,13
09/08/2024 13:56,8
09/08/2024 15:06,71
09/08/2024 15:14,16.5
09/08/2024 15:34,30.69
09/08/2024 15:38,13.09
09/08/2024 15:39,25.3
09/08/2024 16:35,33
09/08/2024 16:36,36.3
09/08/2024 16:36,22
09/08/2024 17:03,49.5
09/08/2024 17:51,26.4
09/08/2024 18:15,25.3
09/08/2024 18:16,30.8
09/08/2024 18:17,92.18
09/08/2024 19:19,99
09/08/2024 19:19,75.9
09/08/2024 19:36,141.79
10/08/2024 07:40,52.8
10/08/2024 07:51,45.1
10/08/2024 07:52,79.2
10/08/2024 08:13,39
10/08/2024 08:21,20.9
10/08/2024 08:31,5
10/08/2024 08:36,12.1
10/08/2024 08:36,74.8
10/08/2024 08:36,15.4
10/08/2024 08:37,30
10/08/2024 08:44,49.39
10/08/2024 08:57,10
10/08/2024 08:59,26
10/08/2024 09:04,105.6
10/08/2024 09:20,126.39
10/08/2024 09:28,26
10/08/2024 09:34,20
10/08/2024 09:58,38.5
10/08/2024 10:00,18.7
10/08/2024 10:02,37.29
10/08/2024 10:07,66
10/08/2024 10:09,51.59
10/08/2024 10:11,90.2
10/08/2024 10:20,34.1
10/08/2024 10:21,23.1
10/08/2024 10:23,48.18
10/08/2024 10:29,38.39
10/08/2024 11:07,82.39
10/08/2024 11:09,33
10/08/2024 11:18,11
10/08/2024 11:25,16.5
10/08/2024 11:28,40.7
10/08/2024 11:31,55
10/08/2024 11:55,6
10/08/2024 12:00,8
10/08/2024 12:07,26
10/08/2024 12:12,59.4
10/08/2024 12:15,16
10/08/2024 12:16,20
